barrio;ciudad;Costo Prom;STD Costo;Costo Med;Prom $/m2 Total;STD $/m2 Total;Med $/m2 Total;Prom $/m2 Edif;STD $/m2 Edif;Med $/m2 Edif;Cant
JOSE IGNACIO DIAZ SE;CORDOBA;50091.0;17473.0;47000.0;167.0;102.0;134.0;424.0;161.0;391.0;11
JUAN B. JUSTO;CORDOBA;59000.0;;59000.0;236.0;;236.0;536.0;;536.0;1
JUAN XXIII;CORDOBA;91857.0;19970.0;90000.0;398.0;137.0;354.0;546.0;163.0;571.0;7
JUNIORS;CORDOBA;118622.0;72396.0;115000.0;707.0;249.0;661.0;792.0;224.0;774.0;78
KENNEDY;CORDOBA;132300.0;192523.0;47000.0;515.0;137.0;515.0;775.0;597.0;574.0;10
LA CALANDRIA;CORDOBA;121707.0;24911.0;122000.0;763.0;240.0;722.0;960.0;133.0;971.0;60
LA CAMPANA;LA CALERA;26000.0;;26000.0;193.0;;193.0;193.0;;193.0;1
LA CAROLINA;CORDOBA;255481.0;75036.0;255000.0;535.0;207.0;512.0;1107.0;240.0;1134.0;64
LA CASCADA COUNTRY GOLF;CORDOBA;527732.0;101346.0;517500.0;486.0;341.0;367.0;1271.0;146.0;1257.0;34
LA CATALINA;CORDOBA;129538.0;34480.0;122500.0;640.0;172.0;630.0;997.0;134.0;992.0;24
LA CATALINA;VILLA ALLENDE;104500.0;21920.0;104500.0;581.0;122.0;581.0;1036.0;108.0;1036.0;2
LA CUESTA;LA CALERA;301841.0;102237.0;300000.0;498.0;305.0;425.0;1168.0;272.0;1111.0;82
LA DESEADA;LA CALERA;298750.0;156715.0;310000.0;314.0;315.0;233.0;1046.0;263.0;1029.0;12
LA ESTANZUELA;LA CALERA;188792.0;45889.0;195000.0;573.0;239.0;488.0;1017.0;255.0;1014.0;39
LA FALDA;LA CAROLINA;120000.0;;120000.0;600.0;;600.0;1000.0;;1000.0;1
LA FRANCE;CORDOBA;62600.0;18585.0;65000.0;287.0;116.0;267.0;480.0;189.0;428.0;15
LA FRATERNIDAD;CORDOBA;50000.0;;50000.0;365.0;;365.0;714.0;;714.0;1
LA HERRADURA;CORDOBA;380000.0;;380000.0;211.0;;211.0;950.0;;950.0;1
LA HERRADURA;VILLA ALLENDE;359679.0;73608.0;350000.0;261.0;219.0;210.0;1592.0;2598.0;1177.0;28
LA LUISITA;CORDOBA;205995.0;41889.0;188500.0;1042.0;213.0;1044.0;1102.0;119.0;1055.0;20
LA MORADA;VILLA ALLENDE;329875.0;84535.0;305000.0;467.0;148.0;461.0;1088.0;172.0;1092.0;16
LA PALOMA;VILLA ALLENDE;328167.0;38617.0;330000.0;345.0;336.0;201.0;1092.0;241.0;1100.0;12
LA PANKANA;CORDOBA;390000.0;70711.0;390000.0;488.0;88.0;488.0;1194.0;29.0;1194.0;2
LA PAYA I;CORDOBA;115000.0;;115000.0;1045.0;;1045.0;;;;1
LA PAYA II;CORDOBA;138181.0;50324.0;125000.0;926.0;176.0;904.0;1119.0;491.0;1080.0;21
LA RESERVA;CORDOBA;425833.0;77959.0;415000.0;506.0;267.0;461.0;1267.0;207.0;1222.0;24
LA RUFINA;LA CALERA;461687.0;100114.0;450000.0;489.0;226.0;446.0;1346.0;254.0;1348.0;83
LA SALLE;CORDOBA;153231.0;50860.0;155000.0;542.0;266.0;552.0;946.0;244.0;923.0;13
LA SANTINA;CORDOBA;515833.0;56073.0;522500.0;518.0;409.0;367.0;1268.0;82.0;1222.0;6
LA SERENA;CORDOBA;150000.0;;150000.0;478.0;;478.0;;;;1
LA SERENA;VILLA ALLENDE;420000.0;;420000.0;333.0;;333.0;;;;1
LA TABLADA;CORDOBA;90000.0;;90000.0;243.0;;243.0;625.0;;625.0;1
LAMADRID;CORDOBA;49800.0;17210.0;50000.0;339.0;288.0;344.0;439.0;216.0;409.0;5
LAS CANITAS BARRIO PRIVADO;MALAGUENO;204478.0;45094.0;210000.0;441.0;165.0;411.0;1028.0;179.0;1050.0;67
LAS DALIAS;CORDOBA;158500.0;194505.0;67000.0;229.0;26.0;236.0;947.0;470.0;694.0;4
LAS DELICIAS;CORDOBA;532242.0;91176.0;550000.0;359.0;163.0;324.0;1070.0;364.0;1044.0;33
LAS FLORES;CORDOBA;99919.0;93533.0;70000.0;358.0;205.0;300.0;520.0;138.0;490.0;31
LAS LILAS;CORDOBA;44833.0;12003.0;40000.0;180.0;53.0;189.0;379.0;1.0;379.0;3
LAS MAGNOLIAS;CORDOBA;63700.0;15781.0;66000.0;261.0;128.0;198.0;495.0;212.0;398.0;7
LAS MARGARITAS;CORDOBA;68688.0;21086.0;70500.0;324.0;138.0;294.0;584.0;204.0;585.0;16
