id;tipoPropiedad;precioUSD;fechaUltimaActualizacion;tipoVendedor;terrenoTotal;terrenoEdificado;cantDormitorios;cantBanos;cantCochera;barrio;ciudad;coordX;coordY;activo;URL
5084382;DEPARTAMENTO;39000;14-08-2023;INMOBILIARIA;-1;-1;1;1;-1;CENTRO;CORDOBA;-31.411256;-64.188241;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5084382/depto-1-dormitorio-en-venta-centro
5113192;TERRENOS LOTES;32000;14-08-2023;INMOBILIARIA;250;-1;-1;-1;-1;MANANTIALES;CORDOBA;-31.480099;-64.265599;True;https://clasificados.lavoz.com.ar/avisos/terrenos-lotes/5113192/oportunidad-colinas-250-m2-central-apto-duplex-cerca-de-espacio-verde
5098965;CASA;205000;14-08-2023;INMOBILIARIA;600;192;2;3;2;SIETE SOLES;CORDOBA;-31.454586;-64.314566;True;https://clasificados.lavoz.com.ar/avisos/casas/5098965/mejor-precio-en-siete-soles
5098897;DUPLEX;135000;14-08-2023;INMOBILIARIA;180;135;3;2;2;NUEVO POETA LUGONES;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/casas/5098897/duplex-appto-bancor-unico
5061122;DEPARTAMENTO;75000;14-08-2023;INMOBILIARIA;66;-1;1;1;-1;GENERAL PAZ;CORDOBA;-31.412073;-64.167741;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5061122/venta-un-dormitorio-categoria-inmejorable-zona-gral-paz
5053906;DEPARTAMENTO;37000;14-08-2023;INMOBILIARIA;-1;-1;1;1;-1;SAN VICENTE;CORDOBA;-31.396794;-64.19802;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5053906/pocos-metros-castro-barros
5037740;DEPARTAMENTO;250000;14-08-2023;INMOBILIARIA;219;-1;3;4;-1;NUEVA CORDOBA;CORDOBA;-31.426313;-64.184122;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5037740/bv-chacabuco-al-700-piso-de-3-dormitorios-4-banos-con-quincho-propio-y-
4798734;DEPARTAMENTO;98000;14-08-2023;INMOBILIARIA;83;-1;2;1;-1;COFICO;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/4798734/venta-2-dor-categoria-con-cochera
5098899;CASA;110000;14-08-2023;INMOBILIARIA;560;-1;3;-1;-1;MARQ. DE SOBREMONTE;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/casas/5098899/apto-bancor-3-dormitorios-marques-de-sobremonte-zona-norte-de-cordoba
5052767;DEPARTAMENTO;79000;14-08-2023;INMOBILIARIA;48;-1;1;-1;-1;NUEVA CORDOBA;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5052767/b%C2%B0-nueva-cordoba-ituzaingo-n-665-tecnologia-smart-building
4993460;CASA;235000;14-08-2023;INMOBILIARIA;500;200;3;3;2;GRANJA DE FUNES;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/casas/4993460/granja-de-funes-mts-nunez-pbaja-estilo-contemporaneo-impecable-diseno
5054720;DEPARTAMENTO;250000;14-08-2023;INMOBILIARIA;146;-1;3;3;1;GENERAL PAZ;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5054720/%E2%98%85casanova-4-a-estrenar%E2%98%85-depto-premium-3d-balc-c-asador-coch-y-amenities
5097543;DEPARTAMENTO;75000;14-08-2023;INMOBILIARIA;50;-1;1;1;-1;GENERAL PAZ;CORDOBA;-31.412595;-64.170359;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5097543/a-estrenar-en-corazon-de-gral-paz
5111625;DEPARTAMENTO;60000;14-08-2023;INMOBILIARIA;41;-1;1;1;-1;GENERAL PAZ;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5111625/mapa-04-%E2%98%85-a-estrenar-%E2%98%85-general-paz-%E2%98%85
4594379;DEPARTAMENTO;58000;14-08-2023;INMOBILIARIA;42;-1;1;-1;-1;NUEVA CORDOBA;CORDOBA;-31.74132;-60.511547;True;https://clasificados.lavoz.com.ar/avisos/departamentos/4594379/b%C2%B0-nva-cordoba-parana-n-555-1d-1b-patio-funcional
4971987;DEPARTAMENTO;125000;14-08-2023;INMOBILIARIA;87;-1;2;2;1;GENERAL PAZ;CORDOBA;-31.414193;-64.161967;True;https://clasificados.lavoz.com.ar/avisos/departamentos/4971987/venta-depto-dos-domitorios-dos-banos-cochera-full-amenities
4708897;DEPARTAMENTO;38000;14-08-2023;INMOBILIARIA;45;-1;1;1;-1;SAN VICENTE;CORDOBA;-31.425198;-64.161456;True;https://clasificados.lavoz.com.ar/avisos/departamentos/4708897/vendo-departamento-con-cochera-oportunidad
5069755;DEPARTAMENTO;76000;14-08-2023;INMOBILIARIA;-1;-1;2;1;-1;DOCTA URBANIZACION INTELIGENTE;CORDOBA;-31.458526;-64.307715;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5069755/duplex-en-venta-docta-2-dorm-financiacion-propia
5095636;DEPARTAMENTO;40000;14-08-2023;INMOBILIARIA;45;-1;1;1;-1;GUEMES;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5095636/vendo-un-dormitorio-cofico-apto-bancor
4338095;DEPARTAMENTO;217000;14-08-2023;INMOBILIARIA;75;-1;2;2;-1;NUEVA CORDOBA;CORDOBA;-31.424668;-64.183447;True;https://clasificados.lavoz.com.ar/avisos/departamentos/4338095/nueva-cordoba-2-dormitorios-chacabuco-600
5096048;DEPARTAMENTO;125000;14-08-2023;INMOBILIARIA;80000;-1;2;2;1;GENERAL PAZ;CORDOBA;-31.417127;-64.1716;True;https://clasificados.lavoz.com.ar/avisos/departamentos/5096048/venta-dos-dorm-ccochera-bgral-paz-excelente-ubicacion
5083823;CASA;135000;14-08-2023;INMOBILIARIA;180;142;3;3;2;DOCTA URBANIZACION INTELIGENTE;CORDOBA;None;None;True;https://clasificados.lavoz.com.ar/avisos/casas/5083823/duplex-a-estrenar-amplio-3-dormitorios
