id;tipoPropiedad;precioUSD;fechaUltimaActualizacion;vendedor;terrenoTotal;terrenoEdificado;cantDormitorios;cantBanos;cantCochera;barrio;ciudad;coordX;coordY;activo
48535952;TERRENOS;72900;01-08-2022;INMOBILIARIA;3524;;;;;PENON DEL AGUILA;LA CUMBRECITA;-31.8894748395;-64.7565378253;False
50144440;CASA;220000;12-08-2022;INMOBILIARIA;360;230;3;3;2;PRADOS DE MANANTIALES;CORDOBA;-31.4611722;-64.234616;False
49580471;CASA;138000;31-07-2022;PARTICULAR;507;;;;;CASA EN VENTA RIO CEBALLOS CON PILETA APTO CREDITO;RIO CEBALLOS;-31.1737267;-64.3123326;False
49528047;CASA;93000;31-07-2022;INMOBILIARIA;125;115;3;1;2;INAUDI;CORDOBA;-31.4763029;-64.1949977;False
50710649;DEPARTAMENTO;28900;20-11-2022;INMOBILIARIA;52;52;2;1;;CENTRO;CORDOBA;-31.41927909999999;-64.1760316;False
47765099;DEPARTAMENTO;80000;31-07-2022;INMOBILIARIA;45;40;1;1;;LAS ROSAS;CORDOBA;-31.3940539;-64.2228635;False
51413726;CASA;178000;05-04-2023;PARTICULAR;1230;;3;2;2;VILLA ALLENDE GOLF;VILLA ALLENDE;-31.2844622;-64.2942902;False
50720075;CASA;590000;18-11-2022;INMOBILIARIA;1500;341;3;2;3;LOMAS DE LA CAROLINA;CORDOBA;-31.3592675263;-64.3052908698;False
51116856;CASA;82000;08-02-2023;INMOBILIARIA;180;100;2;1;2;LOMAS DEL CHATEAU;CORDOBA;-31.3322206;-64.3109028;False
50681684;DEPARTAMENTO;110000;13-11-2022;INMOBILIARIA;;;2;1;;QUEBRADA DE LAS ROSAS;CORDOBA;-31.3926083;-64.2627282999999;False
48483584;CASA;150000;31-07-2022;INMOBILIARIA;300;140;3;2;1;VILLA RIVERA INDARTE;CORDOBA;-31.3236005;-64.2895471;False
52027348;DEPARTAMENTO;87000;18-07-2023;INMOBILIARIA;60;49;1;1;;NUEVA CORDOBA;CORDOBA;-31.4252553;-64.1822027;True
51463235;TERRENOS;350000;13-04-2023;INMOBILIARIA;20000;1;;1;;GENERAL ARENALES;CORDOBA;-31.42008329999999;-64.1887761;False
50668251;DEPARTAMENTO;138000;10-11-2022;INMOBILIARIA;180;130;3;3;;LA CALANDRIA;CORDOBA;-31.4952846;-64.1886426;False
51934214;CASA;380000;01-07-2023;INMOBILIARIA;2650;650;6;6;3;VILLA ALLENDE GOLF;VILLA ALLENDE;-31.284037960185906;-64.279592;True
51626980;DEPARTAMENTO;1;08-05-2023;INMOBILIARIA;1;;2;1;;NUEVA CORDOBA;CORDOBA;-31.4280466;-64.1869294;False
51808978;DEPARTAMENTO;112600;08-06-2023;INMOBILIARIA;72;63;2;2;;NUEVA CORDOBA;CORDOBA;-31.4242355;-64.1906255;False
51061216;CASA;450000;02-02-2023;INMOBILIARIA;1615;601;4;4;4;LAS DELICIAS;CORDOBA;-31.3604831;-64.2959007;False
50693391;CASA;120000;14-11-2022;INMOBILIARIA;536;229;3;2;;EMPALME;CORDOBA;-31.4329079;-64.13091949999999;False
51597773;CASA;89900;09-05-2023;INMOBILIARIA;145;145;2;2;1;ALBERDI;CORDOBA;-31.4060083;-64.2007635;False
49092069;DEPARTAMENTO;110000;01-08-2022;INMOBILIARIA;110;80;3;2;;DUPLEX A LA VENTA 3 DORM. LA INESITA (VILLA ALLENDE);VILLA ALLENDE;-31.42008329999999;-64.188776;False
51917355;TERRENOS;48500;28-06-2023;INMOBILIARIA;200;144;4;2;1;GUEMES;CORDOBA;-31.4244812;-64.1946048;True
52070257;DEPARTAMENTO;85000;29-07-2023;INMOBILIARIA;59;59;1;1;;NUEVA CORDOBA;CORDOBA;-31.4235214;-64.1767283;True
45528973;DEPARTAMENTO;76500;31-07-2022;INMOBILIARIA;;;;1;;CENTRO;CORDOBA;-31.4194581;-64.1811675;False
50538510;TERRENOS;45000;21-10-2022;INMOBILIARIA;360;1;;;;SAN IGNACIO VILLAGE;CORDOBA;-31.486821;-64.25336149999998;False
51957483;DEPARTAMENTO;68000;05-07-2023;INMOBILIARIA;42;42;1;1;;NUEVA CORDOBA;CORDOBA;-31.4242378;-64.1813515;True
51282709;CASA;95000;11-03-2023;INMOBILIARIA;76;;2;;;VILLA ALLENDE GOLF;VILLA ALLENDE;-31.278211;-64.3021627;False
51470343;TERRENOS;400000;12-04-2023;INMOBILIARIA;5000;;;;;CAMINO A SAN CARLOS;CORDOBA;-31.5186847;-64.1689321;False
52032312;CASA;90000;20-07-2023;INMOBILIARIA;221;134;2;3;1;ALTO ALBERDI;CORDOBA;-31.4119249;-64.2281768;True
46197365;CASA;490000;31-07-2022;INMOBILIARIA;1500;550;5;4;;LOMAS DE LA CAROLINA;CORDOBA;-31.362675700605944;-64.308811;False
51384525;DEPARTAMENTO;57000;05-04-2023;INMOBILIARIA;55;40;1;1;;NUEVA CORDOBA;CORDOBA;-31.4324622;-64.1895956;False
51517172;DEPARTAMENTO;79000;22-04-2023;INMOBILIARIA;45;42;1;1;;NUEVA CORDOBA;CORDOBA;-31.4321086;-64.193048;False
51863389;CASA;163000;21-06-2023;INMOBILIARIA;700;183;2;2;1;SAN JOSE;CORDOBA;-31.33813799999999;-64.28619379999999;True
51946639;DEPARTAMENTO;57000;07-07-2023;INMOBILIARIA;49;49;1;1;1;COFICO;CORDOBA;-31.40027;-64.1868639;True
51446637;TERRENOS;9000;05-04-2023;INMOBILIARIA;563;;;;;OTROS;AGUA DE ORO;-31.073928506437316;-64.29699888941042;False
50434032;CASA;150000;04-10-2022;INMOBILIARIA;300;200;3;3;;ALTO VERDE;CORDOBA;-31.3757556;-64.2196996;False
51495625;DEPARTAMENTO;120000;16-04-2023;INMOBILIARIA;55;45;1;1;;CENTRO;CORDOBA;-31.420139;-64.178063;False
49533285;CASA;144000;31-07-2022;INMOBILIARIA;1903;170;3;2;2;2 CABANAS CON BAJADA PRIVADA AL RIO! ZONA DE LA OLLA. COD;SANTA ROSA DE CALAMUCHITA;-32.048509977183734;-64.61034946557616;False
49699594;CASA;185000;01-08-2022;INMOBILIARIA;180;180;3;2;2;GREENVILLE II;CORDOBA;-31.4842894;-64.16939909999999;False
51972477;CASA;340000;11-07-2023;INMOBILIARIA;1200;340;3;3;3;VILLA GRAL BELGRANO - Bdeg LOS MOLLES - EN UNA PLANTA - DE CATEGORIA - 3 DORM;VILLA GENERAL BELGRANO;-31.9502588;-64.5563714;True
51761895;DEPARTAMENTO;65000;31-05-2023;INMOBILIARIA;40;40;1;1;;NUEVA CORDOBA;CORDOBA;-31.4247989;-64.1941623;False
51742828;TERRENOS;65000;01-06-2023;INMOBILIARIA;62632;;;;;TERRENO EN ATOS PAMPA;SANTA ROSA DE CALAMUCHITA;-31.990447;-64.6814739;False
51443139;CASA;500000;05-04-2023;INMOBILIARIA;1500;400;3;3;;CASA - EL BOSQUE;CORDOBA;-31.3499722;-64.3100978;False
48231224;CASA;160000;31-07-2022;INMOBILIARIA;353;170;3;1;;ROGELIO MARTINEZ;CORDOBA;-31.43778189999999;-64.179072;False
